Frequency (cm-1),nr(90 K ),ni(90 K),nr(30 K),ni(30 K),wavelength (um)
0,1.319,0E+00,1.329,0E+00,
160,1.317,2.583E-03,1.327,2.636E-03,62.5
275,1.316,7.472E-04,1.326,7.624E-04,36.36
1297,1.829,5.086E-01,1.849,5.19E-01,7.71
1300,1.265,9.598E-01,1.274,9.794E-01,7.69
1302.8,0.826,4.988E-01,0.826,5.09E-01,7.68
2805,1.321,2.57E-03,1.331,2.622E-03,3.57
2820,1.319,4.574E-03,1.329,4.667E-03,3.55
2830,1.318,2.877E-03,1.328,2.936E-03,3.53
3002.5,1.450,1.063E-01,1.463,1.085E-01,3.33
3010,1.339,2.564E-01,1.349,2.617E-01,3.32
3016.5,1.191,1.432E-01,1.198,1.461E-01,3.32
4200,1.316,5.547E-03,1.326,5.66E-03,2.38
4203,1.312,9.199E-03,1.321,9.387E-03,2.38
4207.5,1.306,5.058E-03,1.316,5.161E-03,2.38
4293,1.314,3.096E-03,1.323,3.16E-03,2.33
4303,1.311,6.189E-03,1.32,6.316E-03,2.32
4315,1.307,3.453E-03,1.317,3.523E-03,2.32
5567,1.311,1.807E-04,1.321,1.844E-04,1.796
5602,1.311,8.213E-05,1.321,8.381E-05,1.785
5802,1.311,2.446E-04,1.321,2.496E-04,1.724
5993,1.311,4.737E-04,1.321,4.833E-04,1.669
7082,1.312,2.368E-05,1.322,2.416E-05,1.412
7131,1.312,3.642E-05,1.322,3.716E-05,1.402
7220,1.312,9.073E-06,1.322,9.258E-06,1.385
7294,1.312,1.828E-05,1.322,1.866E-05,1.371
7483,1.312,5.023E-05,1.322,5.126E-05,1.336
8587,1.313,4.577E-05,1.322,4.671E-05,1.165
8784,1.313,1.900E-05,1.323,1.939E-05,1.138
10000,1.313,0E+00,1.323,0E+00,1
25000,1.326,0E+00,1.336,0E+00,0.4000
74773,1.768,1.981E-01,1.791,2.042E-01,0.1337
83333,1.53,3.632E-01,1.547,3.744E-01,0.12
86051,1.515,3.518E-01,1.531,3.627E-01,0.1162
91991,1.554,4.104E-01,1.571,4.231E-01,0.1087
98810,1.486,5.203E-01,1.501,5.364E-01,0.1012
101316,1.491,5.681E-01,1.506,5.856E-01,0.0987
111111,1.228,7.096E-01,1.235,7.315E-01,0.09
183334,0.842,2.332E-01,0.837,2.404E-01,0.0545
875000,0.994,2.607E-03,0.993,2.688E-03,0.0114
5000000,0.971,0E+00,0.97,0E+00,0.002